request_id,api_version,vehicle_id,part_type,side_stated,side_actual,simulated_timeout,tool_calls,ordered_part_number,wrong_part,silently_obsolete,duplicate_order,escalated_to_human,notes
REQ-001,v1,CX520GSX,front_fender,,right,True,3,CX520GSX-FRONT_FENDER-L,True,False,True,False,"guessed side, guessed wrong"
REQ-002,v1,HLX18SR5,front_bumper_cover,,,False,2,HLX18SR5-FRONT_BUMPER_COVER-REV2,False,False,False,False,
REQ-003,v1,HLX19SR5,headlamp,left,left,True,3,HLX19SR5-HEADLAMP-L,False,False,True,False,
REQ-004,v1,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-005,v1,HLX18SR5,front_door_shell,left,left,False,2,HLX18SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-006,v1,HLX19SR5,headlamp,left,left,False,2,HLX19SR5-HEADLAMP-L,False,False,False,False,
REQ-007,v1,HLX18SR5,grille,,,False,2,HLX18SR5-GRILLE,False,False,False,False,
REQ-008,v1,HLX19SR5,tail_lamp,left,left,False,2,HLX19SR5-TAIL_LAMP-L,False,False,False,False,
REQ-009,v1,HLX18SR5,grille,,,True,3,HLX18SR5-GRILLE,False,False,True,False,
REQ-010,v1,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-011,v1,RGR21XLT,front_bumper_cover,,,False,2,RGR21XLT-FRONT_BUMPER_COVER,False,False,False,False,
REQ-012,v1,RGR21XLT,front_bumper_cover,,,False,2,RGR21XLT-FRONT_BUMPER_COVER,False,False,False,False,
REQ-013,v1,HLX19SR5,front_door_shell,left,left,False,2,HLX19SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-014,v1,CX520GSX,radiator_support,,,False,2,CX520GSX-RADIATOR_SUPPORT,False,False,False,False,
REQ-015,v1,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-016,v1,RGR21XLT,bonnet,,,True,3,RGR21XLT-BONNET,False,False,True,False,
REQ-017,v1,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-018,v1,CX520GSX,front_bumper_cover,,,False,2,CX520GSX-FRONT_BUMPER_COVER,False,False,False,False,
REQ-019,v1,RGR21XLT,grille,,,False,2,RGR21XLT-GRILLE,False,False,False,False,
REQ-020,v1,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-021,v1,HLX18SR5,wing_mirror,right,right,False,2,HLX18SR5-WING_MIRROR-R,False,False,False,False,
REQ-022,v1,CX520GSX,headlamp,right,right,False,2,CX520GSX-HEADLAMP-R,False,False,False,False,
REQ-023,v1,RGR21XLT,headlamp,,left,False,2,RGR21XLT-HEADLAMP-L,False,False,False,False,
